shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,column1,ship_year,ship_month,ship_week,ship_dow,distance_km,leadtime_expected_days,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442028255,ZA,JNB,CD,FBM,2025-07-05,2025-07-12,1359.0,KG,1.72,M3,4 TONNER,ROAD,7,7,0,False,2025,7,27,Saturday,2115,6,352.5,9.69090909090909,13.6,2.4,0.0,False,20.57272727272727,23.9,12.0,0.0,False
AF2442028256,ZA,JNB,CD,FBM,2025-07-05,2025-07-12,9075.0,KG,29.25,M3,12 TONNER,ROAD,7,7,0,False,2025,7,27,Saturday,2115,6,352.5,9.69090909090909,13.6,2.4,0.0,False,20.57272727272727,23.9,12.0,0.0,False
AF2442028257,ZA,JNB,ZW,HRE,2025-07-05,2025-07-09,285.0,KG,0.6,M3,1 TONNER,ROAD,4,4,0,False,2025,7,27,Saturday,1123,3,374.3333333333333,9.69090909090909,13.6,2.4,0.0,False,16.57272727272727,19.1,11.2,0.0,False
AF2442028258,ZA,JNB,ZW,HRE,2025-07-05,2025-07-09,1291.0,KG,0.0,M3,4 TONNER,ROAD,4,4,0,False,2025,7,27,Saturday,1123,3,374.3333333333333,9.69090909090909,13.6,2.4,0.0,False,16.57272727272727,19.1,11.2,0.0,False
AF2442028259,ZA,JNB,MZ,TET,2025-07-05,2025-07-10,931.0,KG,2.83,M3,1 TONNER,ROAD,5,5,0,False,2025,7,27,Saturday,1501,4,375.25,9.69090909090909,13.6,2.4,0.0,False,23.236363636363635,25.2,18.9,0.0,False
AF2442028266,ZA,JNB,ZW,HRE,2025-07-11,2025-07-16,3777.0,KG,9.9,M3,4 TONNER,ROAD,5,4,1,False,2025,7,28,Friday,1123,3,374.3333333333333,13.445454545454544,17.4,4.9,0.0,False,19.472727272727273,22.3,13.2,0.0,False
AF2442028267,ZA,JNB,ZW,HRE,2025-07-11,2025-07-15,108.0,KG,0.78,M3,1 TONNER,ROAD,4,4,0,False,2025,7,28,Friday,1123,3,374.3333333333333,13.445454545454544,17.4,4.9,0.0,False,19.59090909090909,22.1,13.6,0.0,False
AF2442028268,ZA,JNB,ZM,KIW,2025-07-11,2025-07-17,2851.0,KG,12.68,M3,4 TONNER,ROAD,6,6,0,False,2025,7,28,Friday,1930,5,386.0,13.445454545454544,17.4,4.9,0.0,False,22.345454545454544,25.4,14.3,0.0,False
AF2442028269,ZA,JNB,ZM,KIW,2025-07-11,2025-07-17,6543.0,KG,7.45,M3,8 TONNER,ROAD,6,6,0,False,2025,7,28,Friday,1930,5,386.0,13.445454545454544,17.4,4.9,0.0,False,22.345454545454544,25.4,14.3,0.0,False
AF2442028270,ZA,JNB,ZM,KIW,2025-07-11,2025-07-17,345.0,KG,1.6,M3,1 TONNER,ROAD,6,6,0,False,2025,7,28,Friday,1930,5,386.0,13.445454545454544,17.4,4.9,0.0,False,22.345454545454544,25.4,14.3,0.0,False
AF2442028271,ZA,JNB,ZM,KIW,2025-07-11,2025-07-17,1771.0,KG,2.02,M3,4 TONNER,ROAD,6,6,0,False,2025,7,28,Friday,1930,5,386.0,13.445454545454544,17.4,4.9,0.0,False,22.345454545454544,25.4,14.3,0.0,False
AF2442028272,ZA,JNB,ZM,KIW,2025-07-12,2025-07-18,4512.0,KG,4.34,M3,4 TONNER,ROAD,6,6,0,False,2025,7,28,Saturday,1930,5,386.0,15.199999999999996,18.0,7.5,0.0,False,23.33636363636364,26.6,14.7,0.0,False
AF2442028277,ZA,JNB,CD,FBM,2025-07-11,2025-07-18,8503.0,KG,37.69,M3,12 TONNER,ROAD,7,7,0,False,2025,7,28,Friday,2115,6,352.5,13.445454545454544,17.4,4.9,0.0,False,23.018181818181816,26.4,14.9,0.0,False
AF2442028278,ZA,JNB,CD,FBM,2025-07-11,2025-07-18,243.0,KG,0.54,M3,1 TONNER,ROAD,7,7,0,False,2025,7,28,Friday,2115,6,352.5,13.445454545454544,17.4,4.9,0.0,False,23.018181818181816,26.4,14.9,0.0,False
AF2442028284,ZA,JNB,TZ,DAR,2025-07-12,2025-07-22,1944.0,KG,2.94,M3,4 TONNER,ROAD,10,10,0,False,2025,7,28,Saturday,3533,8,441.625,15.199999999999996,18.0,7.5,0.0,False,26.309090909090912,28.0,23.0,0.0,False
AF2442028284,ZA,JNB,TZ,DAR,2025-07-12,2025-07-22,241.0,KG,1.1,M3,4 TONNER,ROAD,10,10,0,False,2025,7,28,Saturday,3533,8,441.625,15.199999999999996,18.0,7.5,0.0,False,26.309090909090912,28.0,23.0,0.0,False
AF2442028290,ZA,JNB,ZM,KIW,2025-07-14,2025-07-20,1642.0,KG,9.26,M3,4 TONNER,ROAD,6,6,0,False,2025,7,29,Monday,1930,5,386.0,14.57272727272727,17.2,8.7,0.0,False,20.963636363636365,23.4,15.3,0.0,False
AF2442028291,ZA,JNB,ZM,KIW,2025-07-14,2025-07-20,10032.0,KG,7.34,M3,12 TONNER,ROAD,6,6,0,False,2025,7,29,Monday,1930,5,386.0,14.57272727272727,17.2,8.7,0.0,False,20.963636363636365,23.4,15.3,0.0,False
AF2442028292,ZA,JNB,ZW,HRE,2025-07-14,2025-07-18,1114.0,KG,1.42,M3,4 TONNER,ROAD,4,4,0,False,2025,7,29,Monday,1123,3,374.3333333333333,14.57272727272727,17.2,8.7,0.0,False,19.5,22.2,13.0,0.0,False
AF2442028294,ZA,JNB,ZW,HRE,2025-07-14,2025-07-18,1969.0,KG,0.51,M3,4 TONNER,ROAD,4,4,0,False,2025,7,29,Monday,1123,3,374.3333333333333,14.57272727272727,17.2,8.7,0.0,False,19.5,22.2,13.0,0.0,False
AF2442028294,ZA,JNB,CD,FBM,2025-07-14,2025-07-21,10273.0,KG,28.12,M3,12 TONNER,ROAD,7,7,0,False,2025,7,29,Monday,2115,6,352.5,14.57272727272727,17.2,8.7,0.0,False,20.700000000000003,23.9,13.0,0.0,False
AF2442028295,ZA,JNB,CD,FBM,2025-07-14,2025-07-21,7962.0,KG,11.84,M3,8 TONNER,ROAD,7,7,0,False,2025,7,29,Monday,2115,6,352.5,14.57272727272727,17.2,8.7,0.0,False,20.700000000000003,23.9,13.0,0.0,False
AF2442028298,ZA,JNB,ZM,KIW,2025-07-18,2025-07-24,3673.0,KG,9.7,M3,4 TONNER,ROAD,6,6,0,False,2025,7,29,Friday,1930,5,386.0,16.545454545454543,19.2,11.2,0.0,False,22.027272727272727,25.4,13.9,0.0,False
AF2442028299,ZA,JNB,ZW,HRE,2025-07-18,2025-07-22,629.0,KG,4.44,M3,4 TONNER,ROAD,4,4,0,False,2025,7,29,Friday,1123,3,374.3333333333333,16.545454545454543,19.2,11.2,0.0,False,17.636363636363633,19.4,12.3,0.0,False
