shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,distance_km,leadtime_expected_days,ship_year,ship_month,ship_week,ship_dow,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442027277,ZA,JNB,CD,FBM,2025-01-27,2025-02-03,13905.0,KG,0.0,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,1,5,Monday,352.5,26.827272727272728,29.6,20.3,0.0,False,22.1,23.6,19.0,2.2,True
AF2442027278,ZA,JNB,CD,FBM,2025-02-15,2025-02-22,6910.0,KG,0.0,M3,8 TONNER,ROAD,7,7,0,2115,6,2025,2,7,Saturday,352.5,19.87272727272727,21.8,17.5,1.7,True,22.972727272727273,25.8,18.5,0.7000000000000001,True
AF2442027280,ZA,JNB,ZW,HRE,2025-02-22,2025-02-26,1305.0,KG,1.76,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,8,Saturday,374.3333333333333,22.881818181818183,25.2,17.9,1.4,True,22.054545454545455,24.1,19.4,10.000000000000002,True
AF2442027281,ZA,JNB,ZW,HRE,2025-02-22,2025-02-26,652.0,KG,2.02,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,8,Saturday,374.3333333333333,22.881818181818183,25.2,17.9,1.4,True,22.054545454545455,24.1,19.4,10.000000000000002,True
AF2442027282,ZA,JNB,ZW,HRE,2025-02-22,2025-02-26,2559.0,KG,14.95,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,2,8,Saturday,374.3333333333333,22.881818181818183,25.2,17.9,1.4,True,22.054545454545455,24.1,19.4,10.000000000000002,True
AF2442027287,ZA,JNB,ZM,KIW,2025-02-22,2025-02-28,1824.0,KG,8.82,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Saturday,386.0,22.881818181818183,25.2,17.9,1.4,True,22.854545454545455,25.5,19.8,1.4,True
AF2442027288,ZA,JNB,ZM,KIW,2025-02-22,2025-02-28,2395.0,KG,2.24,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Saturday,386.0,22.881818181818183,25.2,17.9,1.4,True,22.854545454545455,25.5,19.8,1.4,True
AF2442027401,ZA,JNB,CD,FBM,2025-02-22,2025-03-01,14679.0,KG,0.0,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,8,Saturday,352.5,22.881818181818183,25.2,17.9,1.4,True,25.681818181818183,29.2,19.3,0.0,False
AF2442027402,ZA,JNB,ZW,HRE,2025-02-24,2025-02-28,988.0,KG,1.59,M3,4 TONNER,ROAD,4,4,0,1123,3,2025,2,9,Monday,374.3333333333333,22.454545454545453,24.4,18.2,0.0,False,22.18181818181818,24.8,19.0,3.3000000000000007,True
AF2442027402,ZA,JNB,ZW,HRE,2025-02-24,2025-02-28,988.0,KG,1.59,M3,4 TONNER,ROAD,4,4,0,1123,3,2025,2,9,Monday,374.3333333333333,22.818181818181817,25.3,16.3,0.0,False,23.49090909090909,25.6,20.3,2.1,True
AF2442027402,ZA,JNB,ZM,KIW,2025-03-08,2025-03-14,15204.0,KG,7.1,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,3,10,Saturday,386.0,22.454545454545453,24.4,18.2,0.0,False,22.18181818181818,24.8,19.0,3.3000000000000007,True
AF2442027402,ZA,JNB,ZM,KIW,2025-03-08,2025-03-14,15204.0,KG,7.1,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,3,10,Saturday,386.0,22.818181818181817,25.3,16.3,0.0,False,23.49090909090909,25.6,20.3,2.1,True
AF2442027404,ZA,JNB,MZ,TET,2025-02-08,2025-02-13,8622.0,KG,4.45,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,2,6,Saturday,375.25,23.836363636363636,26.5,17.5,0.3,True,29.91818181818182,32.1,26.3,1.0,True
AF2442027404,ZA,JNB,MZ,TET,2025-02-08,2025-02-13,8622.0,KG,4.45,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,2,6,Saturday,375.25,20.79090909090909,22.6,17.5,0.1,True,35.39090909090908,37.6,31.3,0.0,False
AF2442027404,ZA,JNB,MZ,TET,2025-02-08,2025-02-13,8622.0,KG,4.45,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,2,6,Saturday,375.25,26.94545454545454,29.7,19.9,0.0,False,25.19090909090909,26.8,21.1,0.3,True
AF2442027404,ZA,JNB,MZ,TET,2025-02-08,2025-02-13,8622.0,KG,4.45,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,2,6,Saturday,375.25,22.818181818181817,25.3,16.3,0.0,False,18.845454545454547,21.7,16.8,4.299999999999999,True
AF2442027404,ZA,JNB,MZ,TET,2025-01-09,2025-01-14,8642.0,KG,0.0,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,1,2,Thursday,375.25,23.836363636363636,26.5,17.5,0.3,True,29.91818181818182,32.1,26.3,1.0,True
AF2442027404,ZA,JNB,MZ,TET,2025-01-09,2025-01-14,8642.0,KG,0.0,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,1,2,Thursday,375.25,20.79090909090909,22.6,17.5,0.1,True,35.39090909090908,37.6,31.3,0.0,False
AF2442027404,ZA,JNB,MZ,TET,2025-01-09,2025-01-14,8642.0,KG,0.0,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,1,2,Thursday,375.25,26.94545454545454,29.7,19.9,0.0,False,25.19090909090909,26.8,21.1,0.3,True
AF2442027404,ZA,JNB,MZ,TET,2025-01-09,2025-01-14,8642.0,KG,0.0,M3,12 TONNER,ROAD,5,5,0,1501,4,2025,1,2,Thursday,375.25,22.818181818181817,25.3,16.3,0.0,False,18.845454545454547,21.7,16.8,4.299999999999999,True
AF2442027404,ZA,JNB,ZW,HRE,2025-01-30,2025-02-03,627.0,KG,6.17,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,1,5,Thursday,374.3333333333333,23.836363636363636,26.5,17.5,0.3,True,29.91818181818182,32.1,26.3,1.0,True
AF2442027404,ZA,JNB,ZW,HRE,2025-01-30,2025-02-03,627.0,KG,6.17,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,1,5,Thursday,374.3333333333333,20.79090909090909,22.6,17.5,0.1,True,35.39090909090908,37.6,31.3,0.0,False
AF2442027404,ZA,JNB,ZW,HRE,2025-01-30,2025-02-03,627.0,KG,6.17,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,1,5,Thursday,374.3333333333333,26.94545454545454,29.7,19.9,0.0,False,25.19090909090909,26.8,21.1,0.3,True
AF2442027404,ZA,JNB,ZW,HRE,2025-01-30,2025-02-03,627.0,KG,6.17,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,1,5,Thursday,374.3333333333333,22.818181818181817,25.3,16.3,0.0,False,18.845454545454547,21.7,16.8,4.299999999999999,True
AF2442027404,ZA,JNB,ZW,HRE,2025-03-08,2025-03-12,470.0,KG,1.27,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,3,10,Saturday,374.3333333333333,23.836363636363636,26.5,17.5,0.3,True,29.91818181818182,32.1,26.3,1.0,True
AF2442027404,ZA,JNB,ZW,HRE,2025-03-08,2025-03-12,470.0,KG,1.27,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,3,10,Saturday,374.3333333333333,20.79090909090909,22.6,17.5,0.1,True,35.39090909090908,37.6,31.3,0.0,False
AF2442027404,ZA,JNB,ZW,HRE,2025-03-08,2025-03-12,470.0,KG,1.27,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,3,10,Saturday,374.3333333333333,26.94545454545454,29.7,19.9,0.0,False,25.19090909090909,26.8,21.1,0.3,True
AF2442027404,ZA,JNB,ZW,HRE,2025-03-08,2025-03-12,470.0,KG,1.27,M3,8 TONNER,ROAD,4,4,0,1123,3,2025,3,10,Saturday,374.3333333333333,22.818181818181817,25.3,16.3,0.0,False,18.845454545454547,21.7,16.8,4.299999999999999,True
AF2442027406,ZA,JNB,CD,FBM,2025-02-24,2025-03-03,523.0,KG,128.08,M3,8 TONNER,ROAD,7,7,0,2115,6,2025,2,9,Monday,352.5,22.454545454545453,24.4,18.2,0.0,False,23.318181818181817,26.2,19.5,0.0,False
AF2442027407,ZA,JNB,CD,FBM,2025-02-24,2025-03-03,5051.0,KG,18.38,M3,8 TONNER,ROAD,7,7,0,2115,6,2025,2,9,Monday,352.5,22.454545454545453,24.4,18.2,0.0,False,23.318181818181817,26.2,19.5,0.0,False
AF2442027408,ZA,JNB,ZM,KIW,2025-02-24,2025-03-02,2650.0,KG,2.8,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,9,Monday,386.0,22.454545454545453,24.4,18.2,0.0,False,25.59090909090909,27.7,21.6,5.0,True
AF2442027409,ZA,JNB,ZM,KIW,2025-02-24,2025-03-02,1349.0,KG,5.51,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,9,Monday,386.0,22.454545454545453,24.4,18.2,0.0,False,25.59090909090909,27.7,21.6,5.0,True
AF2442027415,ZA,JNB,MZ,TET,2025-03-10,2025-03-16,427.0,KG,2.18,M3,1 TONNER,ROAD,6,5,1,1501,4,2025,3,11,Monday,375.25,23.07272727272727,25.4,17.8,0.0,False,26.509090909090904,28.5,24.0,2.3000000000000003,True
AF2442027421,ZA,JNB,CD,FBM,2025-03-10,2025-03-17,10487.0,KG,0.0,M3,1 TONNER,ROAD,7,7,0,2115,6,2025,3,11,Monday,352.5,23.07272727272727,25.4,17.8,0.0,False,22.881818181818183,25.2,18.3,0.3,True
AF2442027425,ZA,JNB,ZM,KIW,2025-02-01,2025-02-07,9154.0,KG,0.0,M3,12 TONNER,ROAD,6,6,0,1930,5,2025,2,5,Saturday,386.0,26.42727272727273,30.0,21.7,10.4,True,22.945454545454545,25.7,19.6,13.1,True
AF2442027426,ZA,JNB,CD,FBM,2025-03-01,2025-03-08,6184.0,KG,0.0,M3,8 TONNER,ROAD,7,7,0,2115,6,2025,3,9,Saturday,352.5,20.28181818181818,21.9,17.0,0.4,True,26.781818181818178,29.6,20.8,0.5,True
AF2442027427,ZA,JNB,ZW,HRE,2025-02-02,2025-02-06,8286.0,KG,0.0,M3,12 TONNER,ROAD,4,4,0,1123,3,2025,2,5,Sunday,374.3333333333333,24.00909090909091,28.0,20.4,6.699999999999999,True,27.481818181818184,30.6,20.3,0.0,False
AF2442027427,ZA,JNB,ZW,HRE,2025-02-02,2025-02-06,8286.0,KG,0.0,M3,12 TONNER,ROAD,4,4,0,1123,3,2025,2,5,Sunday,374.3333333333333,23.07272727272727,25.4,17.8,0.0,False,24.03636363636364,26.3,19.4,1.2999999999999998,True
AF2442027427,ZA,JNB,ZM,KIW,2025-03-10,2025-03-17,4310.0,KG,12.75,M3,8 TONNER,ROAD,7,6,1,1930,5,2025,3,11,Monday,386.0,24.00909090909091,28.0,20.4,6.699999999999999,True,27.481818181818184,30.6,20.3,0.0,False
AF2442027427,ZA,JNB,ZM,KIW,2025-03-10,2025-03-17,4310.0,KG,12.75,M3,8 TONNER,ROAD,7,6,1,1930,5,2025,3,11,Monday,386.0,23.07272727272727,25.4,17.8,0.0,False,24.03636363636364,26.3,19.4,1.2999999999999998,True
AF2442027428,ZA,JNB,ZM,KIW,2025-03-10,2025-03-16,2300.0,KG,1.12,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,3,11,Monday,386.0,23.07272727272727,25.4,17.8,0.0,False,21.772727272727273,24.0,18.2,2.0,True
AF2442027440,ZA,JNB,ZM,KIW,2025-03-01,2025-03-08,2152.0,KG,13.25,M3,4 TONNER,ROAD,7,6,1,1930,5,2025,3,9,Saturday,386.0,20.28181818181818,21.9,17.0,0.4,True,25.58181818181818,28.0,20.7,0.7,True
AF2442027441,ZA,JNB,MZ,TET,2025-03-02,2025-03-07,343.0,KG,1.41,M3,8 TONNER,ROAD,5,5,0,1501,4,2025,3,9,Sunday,375.25,19.845454545454547,21.8,16.6,1.0,True,30.34545454545455,32.4,26.8,0.3,True
